"id","index","period","timestamp","minute","second","possession","duration","related_events","off_camera","location","under_pressure","counterpress","out","type.id","type.name","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","tactics.formation","tactics.lineup","player.id","player.name","position.id","position.name","pass.length","pass.angle","pass.end_location","pass.aerial_won","pass.switch","pass.cross","pass.assisted_shot_id","pass.goal_assist","pass.shot_assist","pass.outswinging","pass.deflected","pass.straight","pass.inswinging","pass.cut_back","pass.through_ball","pass.miscommunication","pass.no_touch","pass.recipient.id","pass.recipient.name","pass.height.id","pass.height.name","pass.body_part.id","pass.body_part.name","pass.type.id","pass.type.name","pass.outcome.id","pass.outcome.name","pass.technique.id","pass.technique.name","carry.end_location","ball_receipt.outcome.id","ball_receipt.outcome.name","clearance.left_foot","clearance.right_foot","clearance.head","clearance.aerial_won","clearance.body_part.id","clearance.body_part.name","ball_recovery.recovery_failure","ball_recovery.offensive","dribble.overrun","dribble.nutmeg","dribble.outcome.id","dribble.outcome.name","duel.outcome.id","duel.outcome.name","duel.type.id","duel.type.name","foul_committed.offensive","foul_committed.advantage","foul_committed.type.id","foul_committed.type.name","foul_committed.card.id","foul_committed.card.name","foul_won.defensive","foul_won.advantage","interception.outcome.id","interception.outcome.name","shot.statsbomb_xg","shot.end_location","shot.key_pass_id","shot.first_time","shot.freeze_frame","shot.aerial_won","shot.open_goal","shot.technique.id","shot.technique.name","shot.body_part.id","shot.body_part.name","shot.type.id","shot.type.name","shot.outcome.id","shot.outcome.name","goalkeeper.end_location","goalkeeper.technique.id","goalkeeper.technique.name","goalkeeper.position.id","goalkeeper.position.name","goalkeeper.type.id","goalkeeper.type.name","goalkeeper.outcome.id","goalkeeper.outcome.name","goalkeeper.body_part.id","goalkeeper.body_part.name","miscontrol.aerial_won","block.offensive","bad_behaviour.card.id","bad_behaviour.card.name","substitution.outcome.id","substitution.outcome.name","substitution.replacement.id","substitution.replacement.name","match_id","competition_id","season_id"
"f1204573-3def-41cf-b353-ca294eebaab0","663","1","00:18:15.636","18","15","44","3.196043","a04e382e-86e1-4aba-888f-d08f77614956","NA","c(64.5, 39.6)","NA","NA","NA","30","Pass","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","40313","Colin Cameron","11","Left Defensive Midfield","29.759369","1.3298926","c(71.6, 68.5)","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","24765","Denis Irwin","1","Ground Pass","40","Right Foot","62","Free Kick","NA",NA,"NA",NA,"NULL","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"a04e382e-86e1-4aba-888f-d08f77614956","664","1","00:18:18.832","18","18","44","NA","f1204573-3def-41cf-b353-ca294eebaab0","NA","c(71.6, 68.5)","NA","NA","NA","42","Ball Receipt*","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","24765","Denis Irwin","2","Right Back","NA","NA","NULL","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"dc4589d9-2be5-4090-9b41-6ddced5bee2f","665","1","00:18:18.832","18","18","44","1.313017","c(""64be84e5-ebc1-450b-9576-4220d4a341a9"", ""a04e382e-86e1-4aba-888f-d08f77614956"")","NA","c(71.6, 68.5)","NA","NA","NA","43","Carry","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","24765","Denis Irwin","2","Right Back","NA","NA","NULL","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"c(73.5, 68.9)","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"64be84e5-ebc1-450b-9576-4220d4a341a9","666","1","00:18:20.145","18","20","44","2.074653","c(""df52c696-d91e-4cac-8da5-0471f34aba18"", ""f8155d9e-4e70-482f-8c3b-4d6575448b2e"")","NA","c(73.5, 68.9)","NA","NA","NA","30","Pass","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","24765","Denis Irwin","2","Right Back","46.555344","-1.0090094","c(98.3, 29.5)","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40305","Mark Kennedy","3","High Pass","40","Right Foot","NA",NA,"9","Incomplete","NA",NA,"NULL","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"df52c696-d91e-4cac-8da5-0471f34aba18","667","1","00:18:22.220","18","22","44","NA","64be84e5-ebc1-450b-9576-4220d4a341a9","NA","c(98.3, 29.5)","NA","NA","NA","42","Ball Receipt*","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","40305","Mark Kennedy","16","Left Midfield","NA","NA","NULL","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","9","Incomplete","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"bb305cf1-4531-42b8-aeee-1f363ff84311","668","1","00:18:22.220","18","22","44","0","f8155d9e-4e70-482f-8c3b-4d6575448b2e","NA","c(98.3, 29.5)","TRUE","NA","NA","4","Duel","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","40305","Mark Kennedy","16","Left Midfield","NA","NA","NULL","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"10","Aerial Lost","NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"f8155d9e-4e70-482f-8c3b-4d6575448b2e","669","1","00:18:22.220","18","22","44","1.55231","c(""64be84e5-ebc1-450b-9576-4220d4a341a9"", ""b08901c5-dad5-4c5b-a493-449eebd64da2"", ""bb305cf1-4531-42b8-aeee-1f363ff84311"", ""db0d9f4e-3cd9-408a-9f26-7a630d88ad07"")","NA","c(21.8, 50.6)","TRUE","NA","NA","30","Pass","46","Wolverhampton Wanderers","3","From Free Kick","1","Arsenal","NA","NULL","38412","Kolo Habib Touré","3","Right Center Back","23.015863","-0.16586296","c(44.5, 46.8)","TRUE","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15516","Thierry Henry","3","High Pass","NA",NA,"66","Recovery","9","Incomplete","NA",NA,"NULL","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"b08901c5-dad5-4c5b-a493-449eebd64da2","670","1","00:18:23.772","18","23","44","NA","f8155d9e-4e70-482f-8c3b-4d6575448b2e","NA","c(46.9, 44)","NA","NA","NA","42","Ball Receipt*","46","Wolverhampton Wanderers","3","From Free Kick","1","Arsenal","NA","NULL","15516","Thierry Henry","24","Left Center Forward","NA","NA","NULL","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","9","Incomplete","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"db0d9f4e-3cd9-408a-9f26-7a630d88ad07","671","1","00:18:23.772","18","23","44","0.818892","c(""107bb814-4d7d-45ed-a8bd-a557ea6a3db8"", ""f8155d9e-4e70-482f-8c3b-4d6575448b2e"")","NA","c(75.6, 33.3)","NA","NA","NA","30","Pass","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","40313","Colin Cameron","11","Left Defensive Midfield","10.107423","0.47249693","c(84.6, 37.9)","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40311","Alex Rae","2","Low Pass","37","Head","66","Recovery","NA",NA,"NA",NA,"NULL","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
"107bb814-4d7d-45ed-a8bd-a557ea6a3db8","672","1","00:18:24.591","18","24","44","NA","db0d9f4e-3cd9-408a-9f26-7a630d88ad07","NA","c(84.6, 37.9)","NA","NA","NA","42","Ball Receipt*","46","Wolverhampton Wanderers","3","From Free Kick","46","Wolverhampton Wanderers","NA","NULL","40311","Alex Rae","9","Right Defensive Midfield","NA","NA","NULL","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA","NA","NA",NA,"NA","NULL",NA,"NA","NULL","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NULL","NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA","NA","NA",NA,"NA",NA,"NA",NA,"3749052","2","44"
